poll_id,sample_size,population,end_date,state,Biden,Buttigieg,Cheney,Christie,Clinton,Cohen,Cotton,Cruz,Cuban,DeSantis,Haley,Harris,Hawley,Hogan,Kennedy,M. Obama,Manchin,Mapstead,McConaughey,Musk,Newsom,Noem,Oliver,P. Murphy,Pence,Phillips,Pompeo,Pritzker,R. Scott,Ramaswamy,Romney,Rubio,Sanders,Scott,Segal,Shapiro,Stein,Sununu,Swift,Trump,Trump Jr.,Warren,West,Whitmer,Yang,Youngkin
74681,1000,lv,4/7/21,"",46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,
74706,933,lv,4/22/21,Missouri,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
74731,1043,rv,4/23/21,"",45,,,,,,,,,29.5,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74810,1561,a,5/13/21,"",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
74812,1105,a,4/16/21,"",45.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,
74812,1106,a,4/16/21,"",41,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74812,1107,a,4/16/21,"",44,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74819,1000,lv,5/18/21,"",,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
74869,1588,a,5/26/21,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
74928,1267,rv,5/10/21,New Hampshire,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
74995,1001,rv,6/22/21,"",,,,,,,,,,,,46,,,,,,,,,,,,,36,,,,,,,,,,,,,,,40,,,,,,
74998,1000,lv,6/20/21,"",,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
75003,1592,a,6/24/21,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
75009,600,rv,6/23/21,Arizona,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
75257,1000,lv,7/8/21,"",45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,
75491,1000,lv,8/3/21,"",,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
75535,1552,a,8/2/21,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,
75617,2068,rv,8/17/21,Florida,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,,,,,,
75620,700,rv,8/10/21,Florida,49.5,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
75622,1000,lv,8/17/21,"",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,
75814,519,lv,6/5/21,"",51,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
75857,1200,rv,9/1/21,"",45.2666666666667,,,,,,,,,35.6,,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,46.6,,,,,,
75949,1148,lv,9/5/21,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
75949,1500,rv,9/5/21,"",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
76282,911,lv,9/12/21,Florida,55.2,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76285,1000,lv,9/14/21,"",47,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,,
76426,1014,lv,9/20/21,Missouri,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,
76441,1000,lv,9/22/21,"",41,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,
76445,1137,lv,9/20/21,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
76445,1500,rv,9/20/21,"",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
76464,1005,rv,9/23/21,"",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
76629,1150,lv,10/5/21,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
76629,1500,rv,10/5/21,"",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
76752,450,lv,9/18/21,Florida,51.1,,,,,,,,,49.8,,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05,,,,,,
76897,735,lv,10/17/21,"",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
76905,1000,lv,10/18/21,"",,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,
76908,1098,rv,10/19/21,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,5,
76922,1138,lv,10/17/21,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
76922,1500,rv,10/17/21,"",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
77029,1704,a,10/21/21,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,
77034,600,lv,10/19/21,Iowa,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,,,,,,
77168,1688,rv,10/28/21,"",45,,,,,,,,,42,,40,,,,,,,,,,,,,,,41,,,,,,,42,,,,,,46,,,,,,
77173,805,rv,10/31/21,Wisconsin,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
77199,1217,lv,10/31/21,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
77199,1500,rv,10/31/21,"",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,
77425,1000,rv,11/4/21,"",42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,,,,,
77474,1000,rv,11/5/21,"",39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,,,,,,
77487,1673,a,11/8/21,"",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,
77529,658,lv,11/10/21,Iowa,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
77734,1004,a,11/10/21,"",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,
77744,1500,rv,11/15/21,"",35,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5,,,,,,
77791,1000,lv,11/16/21,"",44,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,,
77792,1013,rv,11/18/21,"",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
77828,600,lv,11/16/21,Arizona,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
77829,600,lv,11/16/21,Georgia,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
77830,600,lv,11/16/21,Michigan,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,
77831,600,lv,11/16/21,Pennsylvania,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,
77832,600,lv,11/16/21,Wisconsin,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,
77877,1200,lv,11/23/21,"",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
77982,1989,rv,12/2/21,"",44,37,,,,,,,,36.5,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6666666666667,,,,,,
78012,1500,rv,11/22/21,"",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,
78037,1148,lv,12/5/21,"",38,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,
78037,1500,rv,12/5/21,"",35,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,
78069,1020,rv,12/13/21,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
78084,1041,lv,12/12/21,New Hampshire,45.9,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.75,,,,,,
78101,574,rv,12/13/21,"",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,
