poll_id,end_date,sample_size,population,state,Biden,Trump,population_weight,date_weight,sample_weight,Biden_Win,Trump_win,wbw,wtw
74681,2021-04-07,1000,lv,"",46.4,42.2,1,3.83588892369712e-22,1,1,0,3.83588892369712e-22,0
74810,2021-05-13,1561,a,"",48,36,0.628,2.28004361375103e-21,1.19340290306242,1,0,1.70879469935291e-21,0
74812,2021-04-16,1105,a,"",45.5,28,0.628,5.98942740891943e-22,1.04336227802113,1,0,3.92446156875897e-22,0
74869,2021-05-26,1588,a,"",46,36,0.628,4.33981291171936e-21,1.20085049809108,1,0,3.27280095990266e-21,0
75003,2021-06-24,1592,a,"",47,35,0.628,1.82403489100083e-20,1.20194306340165,1,0,1.37681846115457e-20,0
75257,2021-07-08,1000,lv,"",45.7,43.3,1,3.64806978200165e-20,1,1,0,3.64806978200165e-20,0
75535,2021-08-02,1552,a,"",47,37,0.628,1.25781480083912e-19,1.19089171692217,1,0,9.40694531021613e-20,0
75622,2021-08-17,1000,lv,"",37,43,1,2.64331450435597e-19,1,0,1,0,2.64331450435597e-19
75814,2021-06-05,519,lv,"",51,40,1,7.12020393988366e-21,0.715167357848458,1,0,5.09213743902877e-21,0
75857,2021-09-01,1200,rv,"",45.2666666666667,46.6,0.753,5.55496052700075e-19,1.07918124604762,0,1,0,4.51409134512535e-19
75949,2021-09-05,1148,lv,"",45,42,1,6.77157273098083e-19,1.05994188806195,1,0,7.17747358562467e-19,0
75949,2021-09-05,1500,rv,"",39,36,0.753,6.77157273098083e-19,1.17609125905568,1,0,5.99688258672167e-19,0
76285,2021-09-14,1000,lv,"",47,49.5,1,1.05732580174239e-18,1,0,1,0,1.05732580174239e-18
76441,2021-09-22,1000,lv,"",41,51.5,1,1.57118010314633e-18,1,0,1,0,1.57118010314633e-18
76445,2021-09-20,1137,lv,"",42,40,1,1.42305500024024e-18,1.05576046468773,1,0,1.50240520832984e-18,0
76445,2021-09-20,1500,rv,"",37,34,0.753,1.42305500024024e-18,1.17609125905568,1,0,1.26025283784434e-18,0
76464,2021-09-23,1005,rv,"",50,39,0.753,1.65092792390086e-18,1.00216606175651,1,0,1.2458414636119e-18,0
76629,2021-10-05,1150,lv,"",43,41,1,2.99056897734218e-18,1.06069784035361,1,0,3.17209005569536e-18,0
76629,2021-10-05,1500,rv,"",37,36,0.753,2.99056897734218e-18,1.17609125905568,1,0,2.64843807149299e-18,0
76897,2021-10-17,735,lv,"",40,40,1,5.41725818478467e-18,0.866287339084195,1,0,4.69290217802918e-18,0
76908,2021-10-19,1098,rv,"",46,41,0.753,5.98113795468437e-18,1.04060234011407,1,0,4.68666157259881e-18,0
76922,2021-10-17,1138,lv,"",42,40,1,5.41725818478467e-18,1.05614226205905,1,0,5.72139531343639e-18,0
76922,2021-10-17,1500,rv,"",36,35,0.753,5.41725818478467e-18,1.17609125905568,1,0,4.79750606937734e-18,0
77029,2021-10-21,1704,a,"",43,40,0.628,6.60371169560346e-18,1.23146959043068,1,0,5.10706564610325e-18,0
77168,2021-10-28,1688,rv,"",45,46,0.753,9.33905864192423e-18,1.22737244228964,0,1,0,8.63126492016058e-18
77199,2021-10-31,1217,lv,"",42,42,1,1.08345163695693e-17,1.08529057823007,1,0,1.1758598535573e-17,0
77199,2021-10-31,1500,rv,"",36,38,0.753,1.08345163695693e-17,1.17609125905568,0,1,0,9.59501213875468e-18
77425,2021-11-04,1000,rv,"",42.9,44.6,0.753,1.32074233912069e-17,1,0,1,0,9.9451898135788e-18
77474,2021-11-05,1000,rv,"",39.7,43.6,0.753,1.38777878078145e-17,1,0,1,0,1.04499742192843e-17
77487,2021-11-08,1673,a,"",43,39,0.628,1.61000294507408e-17,1.22349594096239,1,0,1.23705453885198e-17,0
77734,2021-11-10,1004,a,"",42,34,0.628,1.77758736864024e-17,1.001733712809,1,0,1.11826025422787e-17,0
77744,2021-11-15,1500,rv,"",35,41.5,0.753,2.27688800038439e-17,1.17609125905568,0,1,0,2.01640454055094e-17
77791,2021-11-16,1000,lv,"",44,49.5,1,2.39245518187375e-17,1,0,1,0,2.39245518187375e-17
77792,2021-11-18,1013,rv,"",45,45,0.753,2.64148467824138e-17,1.00560944536028,1,0,2.00019536248714e-17,0
77877,2021-11-23,1200,lv,"",32,45,1,3.38344256557564e-17,1.07918124604762,0,1,0,3.65134776384849e-17
77982,2021-12-02,1989,rv,"",44,48.6666666666667,0.753,5.28296935648276e-17,1.29863478312444,0,1,0,5.1660677666753e-17
78012,2021-11-22,1500,rv,"",46,45,0.753,3.22000589014816e-17,1.17609125905568,1,0,2.85162664847783e-17,0
78037,2021-12-05,1148,lv,"",38,42,1,6.1289279966393e-17,1.05994188806195,0,1,0,6.49630751255364e-17
78037,2021-12-05,1500,rv,"",35,36,0.753,6.1289279966393e-17,1.17609125905568,0,1,0,5.42775851910454e-17
78069,2021-12-13,1020,rv,"",47,44,0.753,9.10755200153755e-17,1.00860017176192,1,0,6.91696652035027e-17,0
78101,2021-12-13,574,rv,"",47,41,0.753,9.10755200153755e-17,0.758911892397974,1,0,5.20460763202366e-17,0
78101,2021-12-13,585,rv,"",38,35,0.753,9.10755200153755e-17,0.76715586608218,1,0,5.26114469355191e-17,0
78101,2021-12-13,773,a,"",35,32,0.628,9.10755200153755e-17,0.888179493918325,1,0,5.07998050250796e-17,0
78101,2021-12-13,777,a,"",45,38,0.628,9.10755200153755e-17,0.890421018800914,1,0,5.09280099969058e-17,0
78104,2021-12-19,750,rv,"",41,49,0.753,1.22578559932786e-16,0.8750612633917,0,1,0,8.07696033881978e-17
78125,2021-12-18,1248,lv,"",38,44,1,1.16657421351054e-16,1.09621458534641,0,1,0,1.27881566773926e-16
78125,2021-12-18,1500,rv,"",34,39,0.753,1.16657421351054e-16,1.17609125905568,0,1,0,1.03311429486877e-16
78251,2022-01-05,1016,lv,"",40,46,1,2.84413978982438e-16,1.0068937079479,0,1,0,2.86374645889844e-16
78272,2022-01-09,1261,lv,"",43,41,1,3.46704523826219e-16,1.10071508657308,1,0,3.81622899958655e-16,0
78272,2022-01-09,1500,rv,"",39,38.5,0.753,3.46704523826219e-16,1.17609125905568,1,0,3.0704038844015e-16,0
78294,2022-01-06,1000,lv,"",44.8,43.7,1,2.98849876541575e-16,1,1,0,2.98849876541575e-16,0
78297,2022-01-18,1000,lv,"",44,50.3333333333333,1,5.41350810492103e-16,1,0,1,0,5.41350810492103e-16
78328,2022-01-20,1815,rv,"",40,47.5,0.753,5.97699753083151e-16,1.25887662937213,0,1,0,5.66579978655018e-16
78335,2022-01-23,2005,rv,"",44.5,44,0.753,6.93409047652437e-16,1.3021143769562,1,0,6.79882111214989e-16,0
78341,2022-01-23,1029,rv,"",47,43.5,0.753,6.93409047652437e-16,1.01241537476243,1,0,5.28619539574556e-16,0
78347,2022-01-21,1000,a,"",42,33,0.628,6.2803698347351e-16,1,1,0,3.94407225621364e-16,0
78351,2022-01-24,1190,rv,"",44,43,0.753,7.28604160123004e-16,1.07554696139253,1,0,5.90086936830125e-16,0
78351,2022-01-24,1568,a,"",40.5,40,0.628,7.28604160123004e-16,1.19534605834842,1,0,5.46946621644756e-16,0
78425,2022-02-06,1205,lv,"",41,42,1,1.38681809530487e-15,1.08098704691089,0,1,0,1.4991323974462e-15
78425,2022-02-06,1500,rv,"",36,38,0.753,1.38681809530487e-15,1.17609125905568,0,1,0,1.2281615537606e-15
78430,2022-02-09,800,lv,"",46,44,1,1.60888842562184e-15,0.903089986991944,1,0,1.45297102736632e-15,0
78464,2022-02-20,1138,rv,"",43.9,48,0.753,2.77363619060975e-15,1.05614226205905,0,1,0,2.20580386356101e-15
78490,2022-02-23,1143,lv,"",42,37.5,1,3.21777685124369e-15,1.05804623039528,1,0,3.40455666771158e-15,0
78490,2022-02-23,1500,rv,"",36,34,0.753,3.21777685124369e-15,1.17609125905568,1,0,2.84965261893958e-15,0
78491,2022-02-22,1000,lv,"",45,49.3333333333333,1,3.06234263279839e-15,1,0,1,0,3.06234263279839e-15
78492,2022-02-23,1078,rv,"",45,43,0.753,3.21777685124369e-15,1.03261876085072,1,0,2.50202076885352e-15,0
78499,2022-02-24,2026,rv,"",42,49.5,0.753,3.38110038814897e-15,1.30663944102426,0,1,0,3.32666297827707e-15
78506,2022-02-24,1046,rv,"",36.54,40.67,0.753,3.38110038814897e-15,1.01953168453126,0,1,0,2.595695647647e-15
